Ranking,Car_ID,Year,Car_Make,Car_Model,Total
30,Showcar,2014,Nissan,Gtr,44
31,153,2017,Subaru,Brz,42
31,45,2006,Acura,TL,42
31,49,1997,Acura,Integra,42
31,56,2009,Volkswagen,Jetta,42
31,85,2017,Honda,Accord,42
32,176,2014,Mitsu,Lancer,40
32,19,2001,Mitsub,Evo7,40
32,207,1993,Honda,Civic eG,40
32,222,2015,Lexus,Is250,40
32,44,2018,Honda,Civic si,40
33,145,1990,Volkswagen,Gti,38
33,179,2004,Volkswagen,R32,38
33,18,2015,Audi,S3,38
33,20,2009,Infinity,G37,38
33,99,2014,Civic,Si,38
34,162,2014,Nissan,370z,36
34,200,2016,Subaru,WRX,36
34,78,2015,Mazda,6,36
35,10,2001,Nissan,S15,34
35,17,2016,Mercedes,C43,34
36,24,2013,Subaru,BRZ,32
36,4341,1992,Nissan,Rps13,32
36,46,2008,Volkswagen,R32,32
37,11,1991,Nissan,Skyline,30
37,120,2014,Ford,Focus st,30
37,181,2003,Volkswagen,Gti,30
37,7,2014,Nissan,Sentra,30
37,92,2017,Hyundai,Elantra sport,30
38,116,2008,Audi,A4,28
38,144,2016,Volkswagen,Gti,28
38,238,1982,Volkswagen,Rabbit,28
38,59,2012,Volkswagen,Golf,28
39,114,2010,Volkswagen,Gti,26
39,141,1993,Mazda,Miata,26
39,14,1990,Nissan,Skyline,26
39,187,2007,Subaru,Legacy,26
39,219,2016,Ford,Focus rs,26
39,242,2014,Nissan,Maxima,26
39,98,2012,Benz,C63,26
40,130,2016,Honda,Civic si,24
40,2,2016,Bmw,M2,24
40,22,2007,Honda,Civic,24
40,241,2007,Toyota,Camry,24
40,81,2016,Volkswagen,GTI,24
41,100,2006,Volvo,S60r,22
41,150,2006,Nissan,350z,22
41,163,2013,Mitsu,Ralliart,22
41,172,2014,Bmw,4,22
41,93,2005,Acura,TL,22
42,167,2016,Ford,Mystang,20
42,182,2012,Volkswagen,Cc,20
42,230,2004,Acura,Tsx,20
42,235,2013,Scion,Frs,20
43,226,2008,Honda,Accord,18
43,34,2010,Honda,Fit,18
43,79,1993,Mazda,Miata,18
44,183,2005,Volkswagen,Jetta,16
44,89,2014,Honda,Civic si,16
44,Vip,2008,Volkswagen,Gli,16
45,108,2013,Audi,S4,14
45,159,2013,Hyundai,Gen coupe,14
45,186,2012,Volkswagen,Gli,14
45,193,2014,Nissan,Ssntra,14
45,220,2004,Audi,A4,14
45,59,2007,Honda,Civic,14
45,67,2015,Subaru,Sti,14
46,177,2005,Volkswagen,Jetta gli,12
46,76,2005,Subaru,Sti,12
46,95,2004,Infiniti,G35,12
47,102,2015,Honda,Accord,10
47,111,2007,Bmw,328i,10
47,138,1990,Mazda,Miata,10
47,16,2008,Nissan,350z,10
47,190,1995,Lexus,Sc300,10
47,237,1987,Volkswagen,Jetta,10
47,243,2008,Toyota,Matrix,10
47,68,2013,Nissan,Altima,10
47,94,2004,Volkswagen,Gti,10
47,96,2017,Volkswagen,Gti,10
48,184,2010,Volkswagen,Cc,8
48,185,2013,Volkswagen,Jett,8
48,28,1995,Bmw,318xi,8
48,42,2001,Dodge,Viper,8
48,69,2018,Subaru,WRX,8
48,74,2015,Honda,Accord,8
48,86,1996,Volkswagen,Jetta,8
49,134,2012,Subaru,WRX,6
49,187,2007,Subaru,Legacy,6
49,212,2001,Lexus,Is300,6
49,64,2004,Subaru,Forester,6
49,71,2008,Acura,TL,6
49,75,2012,Subaru,WRX,6
50,174,2006,Acura,Rsx,4
50,66,2010,Volkswagen,Gti,4
50,72,2016,Civic,Si,4
51,197,2010,Audi,A4,2
52,0,2015,Chevy,Camaro,0
52,101,2014,Honda,Civic,0
52,70,2014,Honda,Civic,0
